# Number of photos processed: 500
#
# photo rank in Interestingness ; photoId ; nb of views ; nb of comments ; nb of favs ; nb of notes
#
353;6492067257;66;36;13;0
354;6491993999;32;10;11;2
355;6491613759;124;24;6;0
364;6496663621;89;8;18;0
365;6495239835;20;7;4;0
366;6493597081;63;17;9;0
367;6493488251;40;15;6;0
360;6492849129;56;43;15;0
361;6492282767;70;5;5;0
362;6492257099;24;12;5;0
363;6491487653;58;14;9;0
410;6493519711;66;3;8;0
411;6492627885;121;38;20;0
408;6493973599;49;16;4;0
409;6493538591;16;1;4;0
414;6492031811;209;89;36;0
415;6491753817;30;11;3;0
412;6492126595;41;20;3;0
413;6492087133;56;24;4;0
402;6491383091;20;7;3;0
403;6495405349;44;5;5;0
400;6491996725;31;3;8;0
401;6491558853;32;9;3;0
406;6494621545;45;5;13;0
407;6493998393;32;19;4;0
404;6494960737;140;11;7;0
405;6494909311;12;7;3;0
395;6493363677;52;9;3;0
394;6493665505;41;13;3;1
393;6494754563;61;3;16;0
392;6495396381;19;20;9;0
399;6492191019;31;3;3;0
398;6492248215;39;13;3;0
397;6492514857;187;20;16;1
396;6493188053;142;58;58;0
387;6491641067;42;29;3;0
386;6491811923;30;8;6;0
385;6492814797;74;34;13;0
384;6492903071;43;7;11;0
391;6495624875;32;19;9;0
390;6495798767;20;10;4;0
389;6495961703;51;2;7;0
388;6491450673;63;36;6;0
440;6491327723;182;20;20;2
441;6496721037;17;5;3;0
442;6494365871;114;62;23;0
443;6494023777;112;51;19;0
444;6493955059;24;1;4;0
445;6493942311;26;8;4;0
446;6492907593;22;6;4;0
447;6491937399;46;10;3;0
432;6493856035;15;7;5;0
433;6493587057;26;8;5;0
434;6492522291;17;7;3;0
435;6492146591;36;4;5;0
436;6491695243;37;9;3;0
437;6491655849;21;9;6;0
438;6491644207;35;3;4;0
439;6491638215;49;3;3;0
425;6491839843;115;46;30;0
424;6491978251;94;46;14;0
427;6491426831;50;15;6;0
426;6491599907;107;1;14;0
429;6495562903;12;11;7;0
428;6496495907;18;15;8;1
431;6494731387;31;11;4;0
430;6494764433;23;9;4;0
417;6496923799;24;6;4;0
416;6491659673;18;7;6;0
419;6494048099;26;11;4;0
418;6495418335;12;8;7;0
421;6492955143;27;5;8;0
420;6493793409;33;24;6;0
423;6492867623;37;5;4;0
422;6492882099;57;17;9;2
478;6494252709;34;9;5;0
479;6493913245;41;20;3;2
476;6495830725;83;16;7;0
477;6495103921;35;4;5;1
474;6491473813;68;5;3;0
475;6491372441;120;11;22;1
472;6491712993;18;11;3;0
473;6491522717;40;3;4;0
470;6493034751;24;11;4;0
471;6491754007;72;18;6;0
468;6494201813;225;12;23;0
469;6493532461;25;13;6;0
466;6491397383;32;10;5;0
467;6495833655;9;7;4;0
464;6491445221;18;2;5;0
465;6491408321;37;26;6;0
463;6491545703;168;9;13;0
462;6491829365;155;59;11;0
461;6491911493;59;16;8;0
460;6491923235;12;4;5;0
459;6492526587;17;13;3;0
458;6492614897;39;23;4;0
457;6492712065;113;5;8;0
456;6492776477;33;13;14;0
455;6493070891;30;6;4;0
454;6493699601;66;4;3;0
453;6493795537;45;28;3;0
452;6494884575;27;3;8;0
451;6494967899;12;6;3;0
450;6495238405;28;15;4;0
449;6491297529;31;2;5;0
448;6491851083;62;26;4;0
500;6494550109;37;5;7;0
496;6491231967;151;29;37;0
497;6495482955;31;8;3;0
498;6495428635;35;10;6;0
499;6495217749;47;23;12;0
493;6493158725;36;18;5;0
492;6493193641;21;4;6;0
495;6492341115;65;39;7;0
494;6492500773;39;4;5;0
489;6493780121;109;6;11;0
488;6494676509;49;22;14;0
491;6493665233;62;6;4;0
490;6493694167;168;10;16;0
485;6491359201;126;4;6;0
484;6491616939;39;4;4;0
487;6494864545;59;1;4;0
486;6491236871;47;4;5;0
481;6492562965;51;28;4;0
480;6493392901;31;2;5;0
483;6491879593;28;2;6;0
482;6492030095;19;11;3;0
